Column1,iris_class,petal_length,petal_width,sepal_length,sepal_width
,Iris-virginica,5.3,2.3,6.4,3.2
,Iris-setosa,1.4,0.2,5.5,4.2
94.0,Iris-versicolor,4.2,1.3,5.6,2.7
,Iris-virginica,5.1,1.9,5.8,2.7
53.0,Iris-versicolor,4.0,1.3,5.5,2.3
,Iris-setosa,1.5,0.1,4.9,3.1
,Iris-setosa,1.3,0.4,5.4,3.9
,Iris-versicolor,4.4,1.4,6.6,3.0
,Iris-virginica,5.4,2.3,6.2,3.4
,Iris-setosa,1.5,0.2,5.4,3.7
115.0,Iris-virginica,5.3,2.3,6.4,3.2
,Iris-versicolor,4.5,1.5,5.6,3.0
140.0,Iris-virginica,5.6,2.4,6.7,3.1
6.0,Iris-setosa,1.4,0.3,4.6,3.4
25.0,Iris-setosa,1.6,0.2,5.0,3.0
,Iris-versicolor,4.7,1.2,6.1,2.8
,Iris-setosa,1.7,0.3,5.7,3.8
,Iris-virginica,5.1,1.9,5.8,2.7
84.0,Iris-versicolor,4.5,1.5,5.4,3.0
,Iris-virginica,5.5,2.1,6.8,3.0
96.0,Iris-versicolor,4.2,1.3,5.7,2.9
,Iris-versicolor,4.7,1.5,6.7,3.1
,Iris-versicolor,4.5,1.3,5.7,2.8
,Iris-versicolor,4.3,1.3,6.2,2.9
111.0,Iris-virginica,5.3,1.9,6.4,2.7
,Iris-setosa,1.3,0.2,4.4,3.0
42.0,Iris-setosa,1.3,0.2,4.4,3.2
,Iris-versicolor,4.5,1.5,5.4,3.0
129.0,Iris-virginica,5.8,1.6,7.2,3.0
,Iris-versicolor,4.0,1.2,5.8,2.6
49.0,Iris-setosa,1.4,0.2,5.0,3.3
,Iris-virginica,4.8,1.8,6.2,2.8
,Iris-virginica,5.7,2.1,6.7,3.3
,Iris-versicolor,4.5,1.5,6.0,2.9
24.0,Iris-setosa,1.9,0.2,4.8,3.4
,Iris-virginica,5.3,1.9,6.4,2.7
63.0,Iris-versicolor,4.7,1.4,6.1,2.9
103.0,Iris-virginica,5.6,1.8,6.3,2.9
87.0,Iris-versicolor,4.4,1.3,6.3,2.3
98.0,Iris-versicolor,3.0,1.1,5.1,2.5
101.0,Iris-virginica,5.1,1.9,5.8,2.7
146.0,Iris-virginica,5.0,1.9,6.3,2.5
,Iris-versicolor,3.9,1.1,5.6,2.5
,Iris-setosa,1.3,0.2,4.7,3.2
,Iris-versicolor,4.8,1.4,6.8,2.8
,Iris-virginica,5.2,2.0,6.5,3.0
,Iris-virginica,5.4,2.1,6.9,3.1
,Iris-virginica,5.9,2.3,6.8,3.2
,Iris-versicolor,4.2,1.3,5.7,2.9
,Iris-virginica,5.8,1.8,6.7,2.5
,Iris-virginica,5.6,2.4,6.7,3.1
0.0,Iris-setosa,1.4,0.2,5.1,3.5
121.0,Iris-virginica,4.9,2.0,5.6,2.8
,Iris-versicolor,4.3,1.3,6.4,2.9
,Iris-virginica,6.7,2.2,7.7,3.8
,Iris-setosa,1.6,0.2,4.7,3.2
89.0,Iris-versicolor,4.0,1.3,5.5,2.5
138.0,Iris-virginica,4.8,1.8,6.0,3.0
46.0,Iris-setosa,1.6,0.2,5.1,3.8
40.0,Iris-setosa,1.3,0.3,5.0,3.5
149.0,Iris-virginica,5.1,1.8,5.9,3.0
,Iris-setosa,1.7,0.4,5.4,3.9
,Iris-versicolor,4.7,1.6,6.3,3.3
116.0,Iris-virginica,5.5,1.8,6.5,3.0
67.0,Iris-versicolor,4.1,1.0,5.8,2.7
10.0,Iris-setosa,1.5,0.2,5.4,3.7
,Iris-versicolor,4.4,1.4,6.7,3.1
27.0,Iris-setosa,1.5,0.2,5.2,3.5
,Iris-versicolor,4.5,1.6,6.0,3.4
,Iris-virginica,5.1,2.4,5.8,2.8
88.0,Iris-versicolor,4.1,1.3,5.6,3.0
66.0,Iris-versicolor,4.5,1.5,5.6,3.0
,Iris-setosa,1.5,0.4,5.4,3.4
,Iris-setosa,1.4,0.1,4.8,3.0
,Iris-setosa,1.2,0.2,5.0,3.2
,Iris-setosa,1.4,0.2,5.2,3.4
,Iris-virginica,5.6,2.2,6.4,2.8
,Iris-versicolor,4.5,1.5,6.4,3.2
,Iris-versicolor,4.2,1.2,5.7,3.0
137.0,Iris-virginica,5.5,1.8,6.4,3.1
